"en_curid","outcome","name","TotalPageViews","participant"
"3703446","RNN","Jimmy Wales",8776632,31
"376619","C","Recep Tayyip Erdoğan",8022485,31
"44059","C","Harrison Ford",23806375,31
"4471","C","Billy Bob Thornton",8715326,31
"53242","C","Robin Williams",22886354,31
"623737","C","Cristiano Ronaldo",91677973,31
"704723","RNN","Neil Patrick Harris",34215346,31
"80646","NR","Elliott Smith",5959507,31
"8135890","NR","Miley Cyrus",91947733,31
"142510","NR","The Notorious B.I.G.",29134431,32
"156126","RNN","The Rock",49588797,32
"158889","C","George Clooney",30655961,32
"162617","NR","Chuck Norris",39583094,32
"18120823","C","Joe Jonas",16866115,32
"18622157","NR","James Dean",21035842,32
"219349","NR","Kate Hudson",20397759,32
"2808834","C","David Guetta",28980836,32
"302167","NR","Salman Khan",21938055,32
"3414021","C","George Bush",42866705,32
"3504698","NR","Vanessa Hudgens",34030925,32
"3536351","NR","Jordin Sparks",8465417,32
"386491","NR","Brendan Fraser",11290212,32
"412807","NR","Jason Mraz",11727062,32
"476044","NR","Tilda Swinton",9133923,32
"5792809","C","Angelina Jolie",68213700,32
"623737","C","Cristiano Ronaldo",91677973,32
"707815","NR","Jason Statham",39879628,32
"763024","NR","Alyssa Milano",15666527,32
"8135890","C","Miley Cyrus",91947733,32
"102690","RNN","Adam Sandler",35690814,33
"14995351","C","Michael Jackson",145250649,33
"1532027","C","T.I.",22573624,33
"19661665","RNN","Andy Whitfield",11643053,33
"2172695","NR","Ne-Yo",14882338,33
"2190438","NR","Ashley Tisdale",26995415,33
"219948","NR","Takeshi Kitano",9840908,33
"23680998","C","Justin Bieber",113558067,33
"26954","NR","Stephen King",29793908,33
"39942","RNN","Jennifer Aniston",43727724,33
"415175","TT","Vin Diesel",39643634,33
"54764","RNN","Andrew Lloyd Webber",7498163,33
"5655","NR","Courtney Love",14631264,33
"690256","NR","Jeff Hardy",21649599,33
"704723","RNN","Neil Patrick Harris",34215346,33
"73626","NR","Christopher Reeve",12327976,33
"753300","NR","Laura Prepon",8940057,33
"83688","NR","Beyoncé",53049791,33
"864","NR","Andy Warhol",34354584,33
"88923","C","Snoop Dogg",37419499,33
"102685","NR","Tina Fey",13580516,34
"13395562","NR","Abigail Breslin",11957744,34
"13717","RNN","Halle Berry",20582269,34
"14279","NR","Hugh Hefner",20781134,34
"156126","C","The Rock",49588797,34
"168540","NR","Lil Wayne",64484487,34
"169833","NR","Tracy Chapman",8757083,34
"18717883","NR","Jodie Foster",21133609,34
"19499","C","Mariah Carey",36400183,34
"22995","NR","Patti Smith",8611433,34
"248127","NR","Tommy Lee Jones",13396302,34
"249897","C","Keira Knightley",29652842,34
"2844938","C","Mark Zuckerberg",62640549,34
"29455","C","Sandra Bullock",34067509,34
"331124","NR","Christian Bale",35700117,34
"4429395","NR","Eminem",108953700,34
"524577","C","Ronaldinho",38309688,34
"534366","C","Barack Obama",112536577,34
"5792809","C","Angelina Jolie",68213700,34
"968320","NR","Filippo Inzaghi",7168959,34
"101631","NR","Yukio Mishima",9253057,35
"13041163","C","Adele",18869936,35
"150996","C","Catherine Zeta-Jones",18998162,35
"154698","C","Will Smith",55709750,35
"163282","RNN","Ricky Gervais",9305205,35
"20022961","C","Liam Hemsworth",21614952,35
"2110323","C","Rihanna",89939558,35
"225541","NR","Talia Shire",5849014,35
"24953","C","Pelé",24153197,35
"29490","NR","Saddam Hussein",26122662,35
"3162905","NR","Dmitry Medvedev",8656412,35
"345792","NR","Mark Calaway",36963228,35
"39660","RNN","Pope Benedict XVI",30549543,35
"44849","C","Brad Pitt",55005621,35
"451281","NR","Andrea Bocelli",11744564,35
"5422144","C","Taylor Swift",58688243,35
"566103","NR","Landon Donovan",6201060,35
"8239846","C","Bob Marley",60597640,35
"8786","NR","David Bowie",33416436,35
"9257001","NR","James Gandolfini",8252384,35
"11983070","NR","Johnny Cash",32337297,36
"12520860","C","Demi Lovato",53414996,36
"13736167","RNN","Paul McCartney",33759450,36
"149243","TT","Emma Watson",46840359,36
"171099","NR","Leelee Sobieski",5431986,36
"1762258","RNN","Seth Rogen",15609205,36
"19394613","C","Kim Kardashian",66670205,36
"212860","RNN","Macaulay Culkin",38342996,36
